fold,accuracy,f1,precision,sensitivity,specificity,auroc,auprc
0,0.9510961214165261,0.9571005917159764,0.9500734214390602,0.9642324888226528,0.9339805825242719,0.9821162444113264,0.9879437501030869
1,0.8360612460401268,0.8326596604688763,0.9437996334758705,0.7449373191899711,0.9463243873978997,0.9342104670932782,0.9353208154119654
2,0.8116293155663235,0.8423720223010643,0.9003250270855905,0.7914285714285715,0.8469217970049917,0.912630140242453,0.9528091570940187
3,0.6501946690625936,0.5121136173767752,1.0,0.34418865805727117,1.0,0.9636777163598936,0.9631445632323906
4,0.7886356540743054,0.8104172500700084,0.9890635680109364,0.6864326375711575,0.9853881278538813,0.957448034450192,0.9666867480969448
Mean ± Std,0.8075±0.1079,0.7909±0.1659,0.9567±0.0397,0.7062±0.2274,0.9425±0.0599,0.9500±0.0270,0.9612±0.0193
